sku_id,sku_name,category_l1,category_l2,category_l3,brand,supplier,unit_price,cost_price,weight_kg,shelf_life_days,min_order_qty,stock_quantity,reorder_point,lead_time_days,abc_class,is_active
SKU010001,冰箱-标准版,家用电器,大家电,冰箱,华为,华东仓配中心,2719.71,1325.58,29.64,540,1,2553,510,14,B,1
SKU010002,冰箱-升级版,家用电器,大家电,冰箱,华为,跨境保税仓,5381.09,3544.59,30.93,0,2,1833,366,32,C,1
SKU010003,冰箱-旗舰版,家用电器,大家电,冰箱,三只松鼠,西南仓储,735.49,469.7,40.76,90,2,1957,391,43,B,0
SKU010004,洗衣机-标准版,家用电器,大家电,洗衣机,苹果,品牌直销,3240.57,2281.26,36.79,180,10,3115,623,12,C,1
SKU010005,洗衣机-升级版,家用电器,大家电,洗衣机,格力,产地直供,3289.96,1445.54,8.74,0,5,2855,571,19,B,1
SKU010006,洗衣机-旗舰版,家用电器,大家电,洗衣机,农夫山泉,华东仓配中心,7188.91,4885.0,28.2,540,2,2655,531,7,A,1
SKU010007,空调-标准版,家用电器,大家电,空调,伊利,海外直采,7463.47,3545.64,30.82,0,10,256,51,27,A,1
SKU010008,空调-升级版,家用电器,大家电,空调,小米,品牌直销,4116.47,1848.21,11.33,90,2,711,142,43,B,1
SKU010009,空调-旗舰版,家用电器,大家电,空调,农夫山泉,华北分销商,6855.84,3105.22,4.66,365,1,4208,841,17,C,1
SKU010010,热水器-标准版,家用电器,大家电,热水器,戴森,品牌直销,1463.02,856.84,41.99,365,2,686,137,39,C,1
SKU010011,热水器-升级版,家用电器,大家电,热水器,索尼,总代理,5390.85,3934.93,19.67,365,1,2545,509,22,A,1
SKU010012,热水器-旗舰版,家用电器,大家电,热水器,大疆,总代理,4871.89,3493.51,5.71,0,10,3610,722,15,C,1
SKU010013,油烟机-标准版,家用电器,大家电,油烟机,苹果,西南仓储,2544.81,1123.94,34.92,540,1,2527,505,33,B,1
SKU010014,油烟机-升级版,家用电器,大家电,油烟机,伊利,华北分销商,542.79,270.16,36.73,365,5,3000,600,3,C,1
SKU010015,油烟机-旗舰版,家用电器,大家电,油烟机,苹果,西南仓储,990.19,447.71,21.26,270,10,3101,620,30,B,1
SKU010016,电饭煲-标准版,家用电器,小家电,电饭煲,小米,海外直采,2656.09,955.43,12.91,270,2,696,139,34,C,1
SKU010017,电饭煲-升级版,家用电器,小家电,电饭煲,伊利,西南仓储,3939.34,2347.91,10.2,90,1,1284,256,43,C,1
SKU010018,电饭煲-旗舰版,家用电器,小家电,电饭煲,小米,华南供应链,2906.23,1491.48,30.78,90,10,4955,991,9,B,1
SKU010019,微波炉-标准版,家用电器,小家电,微波炉,三只松鼠,华南供应链,8189.11,3565.96,7.36,90,10,1157,231,44,C,1
SKU010020,微波炉-升级版,家用电器,小家电,微波炉,联想,跨境保税仓,2080.13,1242.71,7.14,540,2,3252,650,37,C,1
SKU010021,微波炉-旗舰版,家用电器,小家电,微波炉,戴森,西南仓储,6123.48,3209.07,21.83,90,5,1121,224,37,C,1
SKU010022,吸尘器-标准版,家用电器,小家电,吸尘器,美的,跨境保税仓,5801.24,2833.92,26.81,540,1,3056,611,13,A,1
SKU010023,吸尘器-升级版,家用电器,小家电,吸尘器,格力,华东仓配中心,7284.69,3067.09,5.98,0,10,4265,853,16,C,1
SKU010024,吸尘器-旗舰版,家用电器,小家电,吸尘器,格力,西南仓储,6709.87,3179.62,15.65,90,2,4869,973,21,C,1
SKU010025,电风扇-标准版,家用电器,小家电,电风扇,元气森林,华东仓配中心,2162.21,1430.61,12.32,540,2,2237,447,27,C,1
SKU010026,电风扇-升级版,家用电器,小家电,电风扇,良品铺子,华中物流园,5639.48,3183.98,32.59,180,10,4437,887,33,A,1
SKU010027,电风扇-旗舰版,家用电器,小家电,电风扇,索尼,产地直供,5994.63,3168.54,3.32,270,1,1996,399,16,B,1
SKU010028,净水器-标准版,家用电器,小家电,净水器,华硕,华中物流园,1462.11,513.45,10.65,0,2,2962,592,16,B,1
SKU010029,净水器-升级版,家用电器,小家电,净水器,三星,华南供应链,7936.02,4911.18,23.58,0,10,1820,364,27,C,1
SKU010030,净水器-旗舰版,家用电器,小家电,净水器,罗技,华南供应链,5846.48,3686.59,44.57,0,10,4917,983,1,B,1
SKU010031,电动牙刷-标准版,家用电器,个护电器,电动牙刷,伊利,跨境保税仓,3872.36,1640.62,2.02,270,2,661,132,17,C,1
SKU010032,电动牙刷-升级版,家用电器,个护电器,电动牙刷,格力,跨境保税仓,8221.6,4379.65,19.57,270,5,225,50,42,C,1
SKU010033,电动牙刷-旗舰版,家用电器,个护电器,电动牙刷,三只松鼠,华南供应链,1647.06,878.72,23.86,90,1,4785,957,6,C,1
SKU010034,剃须刀-标准版,家用电器,个护电器,剃须刀,伊利,海外直采,2357.76,1167.91,27.29,180,10,2819,563,22,B,1
SKU010035,剃须刀-升级版,家用电器,个护电器,剃须刀,苹果,跨境保税仓,3866.76,1474.39,19.82,0,1,4104,820,33,B,1
SKU010036,剃须刀-旗舰版,家用电器,个护电器,剃须刀,农夫山泉,西南仓储,5273.72,2691.27,6.14,365,10,3609,721,35,B,0
SKU010037,吹风机-标准版,家用电器,个护电器,吹风机,良品铺子,跨境保税仓,1890.75,736.22,24.55,540,10,2346,469,3,B,1
SKU010038,吹风机-升级版,家用电器,个护电器,吹风机,伊利,品牌直销,8652.93,4073.54,35.46,365,2,4048,809,28,B,1
SKU010039,吹风机-旗舰版,家用电器,个护电器,吹风机,伊利,华南供应链,672.25,358.2,35.08,0,5,1426,285,41,C,1
SKU010040,美容仪-标准版,家用电器,个护电器,美容仪,伊利,产地直供,2063.77,1218.42,44.57,0,10,1697,339,27,B,0
SKU010041,美容仪-升级版,家用电器,个护电器,美容仪,蒙牛,品牌直销,2838.97,1605.32,25.49,540,10,178,50,14,B,1
SKU010042,美容仪-旗舰版,家用电器,个护电器,美容仪,索尼,华东仓配中心,283.79,160.77,21.94,540,2,3289,657,15,C,1
SKU010043,按摩仪-标准版,家用电器,个护电器,按摩仪,良品铺子,总代理,8779.52,5695.52,6.61,0,1,1373,274,31,C,1
SKU010044,按摩仪-升级版,家用电器,个护电器,按摩仪,大疆,西南仓储,2542.68,934.36,11.96,365,2,4743,948,7,A,1
SKU010045,按摩仪-旗舰版,家用电器,个护电器,按摩仪,华为,产地直供,1436.96,778.73,23.38,90,1,4394,878,8,B,1
SKU010046,智能手机-标准版,数码产品,手机通讯,智能手机,元气森林,华东仓配中心,7635.54,4139.86,30.5,540,5,4723,944,31,C,1
SKU010047,智能手机-升级版,数码产品,手机通讯,智能手机,戴森,总代理,5413.76,2578.52,41.85,180,1,4016,803,8,A,1
SKU010048,智能手机-旗舰版,数码产品,手机通讯,智能手机,农夫山泉,海外直采,8889.98,4377.23,33.23,540,1,77,50,28,A,1
SKU010049,功能手机-标准版,数码产品,手机通讯,功能手机,三只松鼠,品牌直销,7757.41,3008.98,18.42,90,2,4885,977,30,C,1
SKU010050,功能手机-升级版,数码产品,手机通讯,功能手机,良品铺子,跨境保税仓,7366.41,4772.98,33.92,90,10,4888,977,20,C,1
SKU010051,功能手机-旗舰版,数码产品,手机通讯,功能手机,华硕,产地直供,666.98,386.57,40.13,540,1,3210,642,34,C,1
SKU010052,固定电话-标准版,数码产品,手机通讯,固定电话,格力,华南供应链,6878.79,4176.81,0.68,90,10,4044,808,23,B,1
SKU010053,固定电话-升级版,数码产品,手机通讯,固定电话,苹果,华南供应链,3519.04,2361.24,31.13,365,1,1983,396,5,B,1
SKU010054,固定电话-旗舰版,数码产品,手机通讯,固定电话,三只松鼠,华中物流园,5217.59,3400.43,2.14,0,1,1987,397,31,C,1
SKU010055,对讲机-标准版,数码产品,手机通讯,对讲机,伊利,海外直采,4656.96,2250.07,10.2,0,10,1920,384,44,C,1
SKU010056,对讲机-升级版,数码产品,手机通讯,对讲机,小米,华北分销商,4351.47,2007.68,32.99,540,2,1191,238,21,C,1
SKU010057,对讲机-旗舰版,数码产品,手机通讯,对讲机,小米,跨境保税仓,7283.41,2752.37,27.05,0,2,2643,528,36,C,1
SKU010058,卫星电话-标准版,数码产品,手机通讯,卫星电话,蒙牛,跨境保税仓,7811.91,5540.3,40.72,90,2,1539,307,26,C,1
SKU010059,卫星电话-升级版,数码产品,手机通讯,卫星电话,华硕,品牌直销,2122.13,1250.56,16.17,90,2,4545,909,17,B,1
SKU010060,卫星电话-旗舰版,数码产品,手机通讯,卫星电话,元气森林,西南仓储,6989.75,4132.64,0.49,365,10,4270,854,43,C,1
SKU010061,笔记本-标准版,数码产品,电脑办公,笔记本,大疆,华东仓配中心,5865.31,3058.52,29.81,270,10,1110,222,41,B,1
SKU010062,笔记本-升级版,数码产品,电脑办公,笔记本,华硕,总代理,5459.36,2294.77,4.93,365,2,2692,538,42,C,1
SKU010063,笔记本-旗舰版,数码产品,电脑办公,笔记本,农夫山泉,品牌直销,4588.2,1727.99,9.36,540,10,1573,314,28,B,1
SKU010064,台式机-标准版,数码产品,电脑办公,台式机,华为,华南供应链,4324.5,1905.14,13.29,90,2,2503,500,9,C,1
SKU010065,台式机-升级版,数码产品,电脑办公,台式机,蒙牛,华南供应链,6203.74,3474.62,35.66,0,2,502,100,27,C,1
SKU010066,台式机-旗舰版,数码产品,电脑办公,台式机,索尼,品牌直销,2834.28,2014.37,4.33,540,1,2539,507,19,B,1
SKU010067,平板-标准版,数码产品,电脑办公,平板,华硕,华中物流园,1422.81,1058.71,1.48,0,5,2004,400,24,A,1
SKU010068,平板-升级版,数码产品,电脑办公,平板,戴森,品牌直销,3178.39,2249.6,4.18,0,10,533,106,22,B,1
SKU010069,平板-旗舰版,数码产品,电脑办公,平板,大疆,总代理,2586.16,1224.73,15.88,540,1,1577,315,30,A,1
SKU010070,显示器-标准版,数码产品,电脑办公,显示器,华为,华中物流园,7552.92,5634.84,30.83,540,1,4166,833,12,B,1
SKU010071,显示器-升级版,数码产品,电脑办公,显示器,海尔,华东仓配中心,5797.07,2767.07,14.45,270,2,4734,946,38,C,0
SKU010072,显示器-旗舰版,数码产品,电脑办公,显示器,苹果,西南仓储,4337.62,2752.0,19.53,0,10,4914,982,12,C,1
SKU010073,打印机-标准版,数码产品,电脑办公,打印机,索尼,西南仓储,4848.63,1877.91,11.33,90,2,4987,997,44,A,1
SKU010074,打印机-升级版,数码产品,电脑办公,打印机,索尼,华中物流园,1167.33,713.8,38.65,270,1,3101,620,28,C,1
SKU010075,打印机-旗舰版,数码产品,电脑办公,打印机,三星,华中物流园,3708.23,1596.87,13.57,540,2,1950,390,17,B,1
SKU010076,智能手表-标准版,数码产品,智能穿戴,智能手表,联想,品牌直销,3942.04,2345.19,32.95,540,10,2965,593,19,B,1
SKU010077,智能手表-升级版,数码产品,智能穿戴,智能手表,华硕,华北分销商,3471.51,2076.27,6.1,270,5,170,50,29,B,1
SKU010078,智能手表-旗舰版,数码产品,智能穿戴,智能手表,美的,总代理,7760.98,3222.64,34.18,540,5,4987,997,18,C,1
SKU010079,手环-标准版,数码产品,智能穿戴,手环,美的,西南仓储,5136.17,3454.93,27.27,365,5,2676,535,14,B,1
SKU010080,手环-升级版,数码产品,智能穿戴,手环,飞利浦,品牌直销,2973.0,1348.09,5.69,540,2,37,50,3,C,1
SKU010081,手环-旗舰版,数码产品,智能穿戴,手环,三只松鼠,华中物流园,1253.05,693.52,20.54,270,5,3292,658,43,B,1
SKU010082,VR眼镜-标准版,数码产品,智能穿戴,VR眼镜,农夫山泉,跨境保税仓,5313.08,3158.71,11.69,90,10,872,174,30,C,1
SKU010083,VR眼镜-升级版,数码产品,智能穿戴,VR眼镜,美的,品牌直销,5270.03,2023.7,11.81,365,1,661,132,2,C,1
SKU010084,VR眼镜-旗舰版,数码产品,智能穿戴,VR眼镜,联想,华中物流园,7170.36,5237.49,41.96,365,1,2758,551,26,B,1
SKU010085,蓝牙耳机-标准版,数码产品,智能穿戴,蓝牙耳机,农夫山泉,海外直采,30.36,14.74,24.47,540,10,163,50,44,A,1
SKU010086,蓝牙耳机-升级版,数码产品,智能穿戴,蓝牙耳机,伊利,华中物流园,5079.28,3247.09,8.21,270,2,3014,602,40,C,1
SKU010087,蓝牙耳机-旗舰版,数码产品,智能穿戴,蓝牙耳机,罗技,产地直供,2968.77,2087.57,44.65,270,5,136,50,42,B,1
SKU010088,智能戒指-标准版,数码产品,智能穿戴,智能戒指,罗技,西南仓储,4375.18,2075.35,6.19,0,5,1457,291,36,B,1
SKU010089,智能戒指-升级版,数码产品,智能穿戴,智能戒指,华硕,总代理,1535.08,740.6,20.11,270,1,1065,213,22,A,1
SKU010090,智能戒指-旗舰版,数码产品,智能穿戴,智能戒指,索尼,产地直供,2933.43,1854.78,22.12,0,2,3083,616,20,C,1
SKU010091,坚果炒货-标准版,食品饮料,休闲零食,坚果炒货,农夫山泉,西南仓储,4669.63,2171.42,11.08,0,10,4581,916,4,C,1
SKU010092,坚果炒货-升级版,食品饮料,休闲零食,坚果炒货,联想,海外直采,2009.69,1282.25,3.9,90,2,3598,719,36,C,1
SKU010093,坚果炒货-旗舰版,食品饮料,休闲零食,坚果炒货,海尔,总代理,5846.56,2049.88,13.3,540,5,1207,241,32,B,1
SKU010094,膨化食品-标准版,食品饮料,休闲零食,膨化食品,飞利浦,华东仓配中心,8026.15,4052.54,18.73,90,2,3460,692,14,B,1
SKU010095,膨化食品-升级版,食品饮料,休闲零食,膨化食品,三星,总代理,2345.41,1298.11,26.94,0,2,1905,381,7,C,1
SKU010096,膨化食品-旗舰版,食品饮料,休闲零食,膨化食品,华为,西南仓储,2024.18,1064.51,19.03,365,1,3674,734,15,C,1
SKU010097,糖果巧克力-标准版,食品饮料,休闲零食,糖果巧克力,伊利,华中物流园,7800.61,4168.6,39.89,180,10,1113,222,25,B,1
SKU010098,糖果巧克力-升级版,食品饮料,休闲零食,糖果巧克力,华硕,海外直采,6277.96,3476.58,40.59,540,10,4062,812,17,C,1
SKU010099,糖果巧克力-旗舰版,食品饮料,休闲零食,糖果巧克力,良品铺子,总代理,2475.01,1150.24,10.85,270,5,1133,226,38,B,1
SKU010100,肉干肉脯-标准版,食品饮料,休闲零食,肉干肉脯,戴森,华中物流园,7906.36,5516.15,43.31,180,10,3189,637,30,B,1
SKU010101,肉干肉脯-升级版,食品饮料,休闲零食,肉干肉脯,美的,华中物流园,7852.03,2818.96,39.01,365,10,2905,581,6,B,1
SKU010102,肉干肉脯-旗舰版,食品饮料,休闲零食,肉干肉脯,三星,华中物流园,821.57,391.75,21.26,180,2,486,97,40,C,1
SKU010103,海苔-标准版,食品饮料,休闲零食,海苔,格力,总代理,7663.55,4945.98,35.85,270,10,2925,585,33,B,1
SKU010104,海苔-升级版,食品饮料,休闲零食,海苔,蒙牛,海外直采,2219.85,1649.96,36.04,0,10,2993,598,16,B,1
SKU010105,海苔-旗舰版,食品饮料,休闲零食,海苔,三星,华北分销商,8474.19,4422.98,1.53,0,1,301,60,17,B,1
SKU010106,白酒-标准版,食品饮料,酒水饮品,白酒,罗技,华南供应链,658.99,424.55,36.69,540,5,3452,690,5,A,1
SKU010107,白酒-升级版,食品饮料,酒水饮品,白酒,大疆,产地直供,5121.63,3299.56,37.53,90,1,4486,897,7,C,1
SKU010108,白酒-旗舰版,食品饮料,酒水饮品,白酒,三星,跨境保税仓,7093.56,3267.81,19.24,270,5,3853,770,29,B,1
SKU010109,啤酒-标准版,食品饮料,酒水饮品,啤酒,农夫山泉,产地直供,4396.6,1538.92,32.45,0,10,3275,655,43,C,1
SKU010110,啤酒-升级版,食品饮料,酒水饮品,啤酒,元气森林,产地直供,7971.48,5048.08,0.81,270,2,3021,604,26,B,1
SKU010111,啤酒-旗舰版,食品饮料,酒水饮品,啤酒,良品铺子,华东仓配中心,4754.41,2840.9,12.5,180,2,1896,379,1,C,1
SKU010112,葡萄酒-标准版,食品饮料,酒水饮品,葡萄酒,苹果,跨境保税仓,3822.15,1774.66,0.88,270,10,1982,396,40,C,1
SKU010113,葡萄酒-升级版,食品饮料,酒水饮品,葡萄酒,华为,华南供应链,2302.46,1132.4,9.81,90,10,3080,616,3,B,1
SKU010114,葡萄酒-旗舰版,食品饮料,酒水饮品,葡萄酒,索尼,西南仓储,4978.72,3411.44,11.47,0,5,1373,274,17,B,1
SKU010115,碳酸饮料-标准版,食品饮料,酒水饮品,碳酸饮料,华为,华东仓配中心,1715.89,1016.29,12.76,90,2,1850,370,33,B,1
SKU010116,碳酸饮料-升级版,食品饮料,酒水饮品,碳酸饮料,良品铺子,华南供应链,4848.73,3147.25,31.52,365,10,2540,508,32,B,1
SKU010117,碳酸饮料-旗舰版,食品饮料,酒水饮品,碳酸饮料,海尔,西南仓储,8269.57,3146.92,30.38,90,2,2910,582,33,B,1
SKU010118,茶饮料-标准版,食品饮料,酒水饮品,茶饮料,农夫山泉,海外直采,4823.99,1839.94,9.53,540,5,1374,274,45,A,1
SKU010119,茶饮料-升级版,食品饮料,酒水饮品,茶饮料,三只松鼠,海外直采,7894.23,5310.39,2.7,540,5,622,124,11,C,1
SKU010120,茶饮料-旗舰版,食品饮料,酒水饮品,茶饮料,元气森林,海外直采,3267.8,1821.9,39.93,90,10,3774,754,23,C,1
SKU010121,水果-标准版,食品饮料,生鲜食品,水果,华硕,西南仓储,8482.95,3298.51,9.99,540,1,4487,897,3,C,1
SKU010122,水果-升级版,食品饮料,生鲜食品,水果,华硕,华南供应链,7376.71,5137.58,8.59,180,2,2553,510,11,A,1
SKU010123,水果-旗舰版,食品饮料,生鲜食品,水果,良品铺子,总代理,4185.38,2873.15,44.02,90,1,1420,284,5,C,1
SKU010124,蔬菜-标准版,食品饮料,生鲜食品,蔬菜,三星,华中物流园,843.2,324.52,32.6,90,2,2043,408,6,B,1
SKU010125,蔬菜-升级版,食品饮料,生鲜食品,蔬菜,良品铺子,西南仓储,7644.44,5587.38,14.5,90,2,482,96,20,B,1
SKU010126,蔬菜-旗舰版,食品饮料,生鲜食品,蔬菜,华硕,华南供应链,6054.61,2360.83,2.23,0,10,2953,590,40,C,1
SKU010127,肉类-标准版,食品饮料,生鲜食品,肉类,三只松鼠,海外直采,4125.36,2667.33,31.89,180,5,2666,533,20,A,1
SKU010128,肉类-升级版,食品饮料,生鲜食品,肉类,苹果,总代理,5330.75,2167.18,42.25,540,5,2795,559,10,A,1
SKU010129,肉类-旗舰版,食品饮料,生鲜食品,肉类,海尔,总代理,8257.8,5544.92,1.13,90,10,3117,623,45,C,0
SKU010130,海鲜-标准版,食品饮料,生鲜食品,海鲜,联想,华北分销商,1465.29,659.41,36.02,90,10,4387,877,10,B,1
SKU010131,海鲜-升级版,食品饮料,生鲜食品,海鲜,华为,华北分销商,6191.8,3734.45,22.52,0,10,1396,279,42,C,1
SKU010132,海鲜-旗舰版,食品饮料,生鲜食品,海鲜,罗技,品牌直销,8591.83,3111.88,8.79,270,10,4693,938,6,C,0
SKU010133,蛋奶-标准版,食品饮料,生鲜食品,蛋奶,罗技,西南仓储,1277.97,856.06,28.54,0,5,4032,806,9,C,1
SKU010134,蛋奶-升级版,食品饮料,生鲜食品,蛋奶,戴森,华东仓配中心,6339.3,2619.15,1.47,0,10,2189,437,36,B,1
SKU010135,蛋奶-旗舰版,食品饮料,生鲜食品,蛋奶,华为,华中物流园,7250.58,4151.69,42.27,180,5,723,144,19,B,1
